grade,num_tested,pct_ccr,pct_glp,school_code,subgroup,subject,type,year,school_name,district_name,County name,School_Name,State_Name,Lea_Name,size,lea_size,st_size
ALL,723,39.8,49.5,010360,ALL,ALL,ALL,2017,Hugh M Cummings High,Alamance-Burlington School District,Alamance,Hugh M Cummings High,State Of North Carolina,Alamance-Burlington Schools,20.75,23.75,19.75
ALL,695,40.0,49.6,010360,ALL,ALL,ALL,2016,Hugh M Cummings High,Alamance-Burlington School District,Alamance,,,,,,
ALL,775,31.9,41.8,010360,ALL,ALL,ALL,2015,Hugh M Cummings High,Alamance-Burlington School District,Alamance,,,,,,
ALL,775,31.9,41.8,010360,ALL,ALL,ALL,2014,Hugh M Cummings High,Alamance-Burlington School District,Alamance,,,,,,
ALL,775,31.9,41.8,010360,ALL,ALL,ALL,2013,Hugh M Cummings High,Alamance-Burlington School District,Alamance,,,,,,
ALL,645,61.4,70.4,010362,ALL,ALL,ALL,2017,Marvin B Smith Elementary,Alamance-Burlington School District,Alamance,Marvin B Smith Elementary,State Of North Carolina,Alamance-Burlington Schools,20.166666666666668,20.5,19.666666666666668
ALL,593,65.4,75.2,010362,ALL,ALL,ALL,2016,Marvin B Smith Elementary,Alamance-Burlington School District,Alamance,Marvin B Smith Elementary,State Of North Carolina,Alamance-Burlington Schools,20.166666666666668,19.5,19.5
ALL,634,61.2,70.2,010362,ALL,ALL,ALL,2015,Marvin B Smith Elementary,Alamance-Burlington School District,Alamance,Marvin B Smith Elementary,State Of North Carolina,Alamance-Burlington Schools,19.5,20.0,19.333333333333332
ALL,634,61.2,70.2,010362,ALL,ALL,ALL,2014,Marvin B Smith Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,634,61.2,70.2,010362,ALL,ALL,ALL,2013,Marvin B Smith Elementary,Alamance-Burlington School District,Alamance,Marvin B Smith Elementary,State Of North Carolina,Alamance-Burlington Schools,19.166666666666668,19.5,20.166666666666668
ALL,482,30.7,40.2,010364,ALL,ALL,ALL,2017,North Graham Elementary,Alamance-Burlington School District,Alamance,North Graham Elementary,State Of North Carolina,Alamance-Burlington Schools,22.333333333333332,20.5,19.666666666666668
ALL,476,36.6,44.7,010364,ALL,ALL,ALL,2016,North Graham Elementary,Alamance-Burlington School District,Alamance,North Graham Elementary,State Of North Carolina,Alamance-Burlington Schools,17.666666666666668,19.5,19.5
ALL,401,36.4,44.6,010364,ALL,ALL,ALL,2015,North Graham Elementary,Alamance-Burlington School District,Alamance,North Graham Elementary,State Of North Carolina,Alamance-Burlington Schools,17.5,20.0,19.333333333333332
ALL,401,36.4,44.6,010364,ALL,ALL,ALL,2014,North Graham Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,401,36.4,44.6,010364,ALL,ALL,ALL,2013,North Graham Elementary,Alamance-Burlington School District,Alamance,North Graham Elementary,State Of North Carolina,Alamance-Burlington Schools,18.833333333333332,19.5,20.166666666666668
ALL,327,40.7,49.5,010372,ALL,ALL,ALL,2017,Pleasant Grove Elementary,Alamance-Burlington School District,Alamance,"Pleasant Grove Elementary, Burlington",State Of North Carolina,Alamance-Burlington Schools,18.5,20.5,19.666666666666668
ALL,302,48.3,55.6,010372,ALL,ALL,ALL,2016,Pleasant Grove Elementary,Alamance-Burlington School District,Alamance,"Pleasant Grove Elementary, Burlington",State Of North Carolina,Alamance-Burlington Schools,16.5,19.5,19.5
ALL,254,41.7,53.9,010372,ALL,ALL,ALL,2015,Pleasant Grove Elementary,Alamance-Burlington School District,Alamance,"Pleasant Grove Elementary, Burlington",State Of North Carolina,Alamance-Burlington Schools,21.0,20.0,19.333333333333332
ALL,254,41.7,53.9,010372,ALL,ALL,ALL,2014,Pleasant Grove Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,254,41.7,53.9,010372,ALL,ALL,ALL,2013,Pleasant Grove Elementary,Alamance-Burlington School District,Alamance,"Pleasant Grove Elementary, Burlington",State Of North Carolina,Alamance-Burlington Schools,18.166666666666668,19.5,20.166666666666668
ALL,692,29.9,40.2,010374,ALL,ALL,ALL,2017,R Homer Andrews Elementary,Alamance-Burlington School District,Alamance,R Homer Andrews Elementary,State Of North Carolina,Alamance-Burlington Schools,19.833333333333332,20.5,19.666666666666668
ALL,682,33.9,42.2,010374,ALL,ALL,ALL,2016,R Homer Andrews Elementary,Alamance-Burlington School District,Alamance,R Homer Andrews Elementary,State Of North Carolina,Alamance-Burlington Schools,18.833333333333332,19.5,19.5
ALL,666,33.9,42.0,010374,ALL,ALL,ALL,2015,R Homer Andrews Elementary,Alamance-Burlington School District,Alamance,R Homer Andrews Elementary,State Of North Carolina,Alamance-Burlington Schools,19.666666666666668,20.0,19.333333333333332
ALL,666,33.9,42.0,010374,ALL,ALL,ALL,2014,R Homer Andrews Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,666,33.9,42.0,010374,ALL,ALL,ALL,2013,R Homer Andrews Elementary,Alamance-Burlington School District,Alamance,R Homer Andrews Elementary,State Of North Carolina,Alamance-Burlington Schools,20.166666666666668,19.5,20.166666666666668
ALL,148,5.0,6.8,010378,ALL,ALL,ALL,2017,Ray Street Academy,Alamance-Burlington School District,Alamance,,,,,,
ALL,172,6.4,11.6,010378,ALL,ALL,ALL,2016,Ray Street Academy,Alamance-Burlington School District,Alamance,Ray Street Academy,State Of North Carolina,Alamance-Burlington Schools,10.0,21.0,22.0
ALL,156,8.3,12.2,010378,ALL,ALL,ALL,2015,Ray Street Academy,Alamance-Burlington School District,Alamance,,,,,,
ALL,156,8.3,12.2,010378,ALL,ALL,ALL,2014,Ray Street Academy,Alamance-Burlington School District,Alamance,,,,,,
ALL,156,8.3,12.2,010378,ALL,ALL,ALL,2013,Ray Street Academy,Alamance-Burlington School District,Alamance,,,,,,
ALL,668,30.5,38.8,010380,ALL,ALL,ALL,2017,South Graham Elementary,Alamance-Burlington School District,Alamance,South Graham Elementary,State Of North Carolina,Alamance-Burlington Schools,19.0,20.5,19.666666666666668
ALL,637,24.8,34.9,010380,ALL,ALL,ALL,2016,South Graham Elementary,Alamance-Burlington School District,Alamance,South Graham Elementary,State Of North Carolina,Alamance-Burlington Schools,18.333333333333332,19.5,19.5
ALL,669,33.2,43.3,010380,ALL,ALL,ALL,2015,South Graham Elementary,Alamance-Burlington School District,Alamance,South Graham Elementary,State Of North Carolina,Alamance-Burlington Schools,14.333333333333334,20.0,19.333333333333332
ALL,669,33.2,43.3,010380,ALL,ALL,ALL,2014,South Graham Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,669,33.2,43.3,010380,ALL,ALL,ALL,2013,South Graham Elementary,Alamance-Burlington School District,Alamance,South Graham Elementary,State Of North Carolina,Alamance-Burlington Schools,19.666666666666668,19.5,20.166666666666668
ALL,782,60.2,67.9,010384,ALL,ALL,ALL,2017,South Mebane Elementary,Alamance-Burlington School District,Alamance,South Mebane Elementary,State Of North Carolina,Alamance-Burlington Schools,22.0,20.5,19.666666666666668
ALL,757,57.5,66.3,010384,ALL,ALL,ALL,2016,South Mebane Elementary,Alamance-Burlington School District,Alamance,South Mebane Elementary,State Of North Carolina,Alamance-Burlington Schools,22.166666666666668,19.5,19.5
ALL,750,63.1,71.6,010384,ALL,ALL,ALL,2015,South Mebane Elementary,Alamance-Burlington School District,Alamance,South Mebane Elementary,State Of North Carolina,Alamance-Burlington Schools,22.5,20.0,19.333333333333332
ALL,750,63.1,71.6,010384,ALL,ALL,ALL,2014,South Mebane Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,750,63.1,71.6,010384,ALL,ALL,ALL,2013,South Mebane Elementary,Alamance-Burlington School District,Alamance,South Mebane Elementary,State Of North Carolina,Alamance-Burlington Schools,21.166666666666668,19.5,20.166666666666668
ALL,1118,46.4,58.0,010388,ALL,ALL,ALL,2017,Southern High,Alamance-Burlington School District,Alamance,Southern High,State Of North Carolina,Alamance-Burlington Schools,24.25,23.75,19.75
ALL,1254,43.8,55.5,010388,ALL,ALL,ALL,2016,Southern High,Alamance-Burlington School District,Alamance,,,,,,
ALL,1250,42.3,54.6,010388,ALL,ALL,ALL,2015,Southern High,Alamance-Burlington School District,Alamance,,,,,,
