grade,num_tested,pct_ccr,pct_glp,school_code,subgroup,subject,type,year,school_name,district_name,County name
ALL,666,58.9,67,10384,ALL,ALL,ALL,2014,South Mebane Elementary,Alamance-Burlington School District,Alamance
ALL,642,62,71.7,10384,ALL,ALL,ALL,2013,South Mebane Elementary,Alamance-Burlington School District,Alamance
ALL,1118,46.4,58,10388,ALL,ALL,ALL,2017,Southern High,Alamance-Burlington School District,Alamance
ALL,1254,43.8,55.5,10388,ALL,ALL,ALL,2016,Southern High,Alamance-Burlington School District,Alamance
ALL,1250,42.3,54.6,10388,ALL,ALL,ALL,2015,Southern High,Alamance-Burlington School District,Alamance
ALL,1223,39.7,51.5,10388,ALL,ALL,ALL,2014,Southern High,Alamance-Burlington School District,Alamance
ALL,1224,41.1,51.9,10388,ALL,ALL,ALL,2013,Southern High,Alamance-Burlington School District,Alamance
ALL,1694,48.6,57.3,10390,ALL,ALL,ALL,2017,Southern Middle,Alamance-Burlington School District,Alamance
ALL,1819,52.2,60.5,10390,ALL,ALL,ALL,2016,Southern Middle,Alamance-Burlington School District,Alamance
ALL,1915,46.8,56.5,10390,ALL,ALL,ALL,2015,Southern Middle,Alamance-Burlington School District,Alamance
ALL,1959,45.9,54.6,10390,ALL,ALL,ALL,2014,Southern Middle,Alamance-Burlington School District,Alamance
ALL,2062,43.8,53.4,10390,ALL,ALL,ALL,2013,Southern Middle,Alamance-Burlington School District,Alamance
ALL,343,34.4,42.3,10392,ALL,ALL,ALL,2017,Sylvan Elementary,Alamance-Burlington School District,Alamance
ALL,357,44,56,10392,ALL,ALL,ALL,2016,Sylvan Elementary,Alamance-Burlington School District,Alamance
ALL,356,42.1,51.4,10392,ALL,ALL,ALL,2015,Sylvan Elementary,Alamance-Burlington School District,Alamance
ALL,388,41,53.6,10392,ALL,ALL,ALL,2014,Sylvan Elementary,Alamance-Burlington School District,Alamance
ALL,355,47,60,10392,ALL,ALL,ALL,2013,Sylvan Elementary,Alamance-Burlington School District,Alamance
ALL,1962,33.6,41.4,10394,ALL,ALL,ALL,2017,Turrentine Middle,Alamance-Burlington School District,Alamance
ALL,1836,36.2,43.8,10394,ALL,ALL,ALL,2016,Turrentine Middle,Alamance-Burlington School District,Alamance
ALL,1951,35.7,45.6,10394,ALL,ALL,ALL,2015,Turrentine Middle,Alamance-Burlington School District,Alamance
ALL,2129,39.1,49.7,10394,ALL,ALL,ALL,2014,Turrentine Middle,Alamance-Burlington School District,Alamance
ALL,2151,36,45.7,10394,ALL,ALL,ALL,2013,Turrentine Middle,Alamance-Burlington School District,Alamance
ALL,850,45.1,57.5,10396,ALL,ALL,ALL,2017,Walter M Williams High,Alamance-Burlington School District,Alamance
ALL,910,39.7,53,10396,ALL,ALL,ALL,2016,Walter M Williams High,Alamance-Burlington School District,Alamance
ALL,918,39.4,50.2,10396,ALL,ALL,ALL,2015,Walter M Williams High,Alamance-Burlington School District,Alamance
ALL,1003,42.2,51.1,10396,ALL,ALL,ALL,2014,Walter M Williams High,Alamance-Burlington School District,Alamance
