school_code	grade_span	school_name
260326	PK-05	Elizabeth M Cashwell Elementary
260332	PK-05	Eastover Central Elementary
260336	06-08	Anne Chesnutt Middle
260338	PK-05	Cliffdale Elementary
260340	0K-05	College Lakes Elementary
260342	PK-05	C Wayne Collier Elementary
260344	PK-05	J W Coon Elementary
260347	09-12	Cumberland International Early CollegeHS
260348	PK-05	Cumberland Mills Elementary
260352	PK-05	Cumberland Road Elementary
260354	09-12	Cross Creek Early College
260356	PK-05	District No 7 Elementary
260357	09-12	Gray's Creek High
260358	06-08	Luther 'Nick' Jeralds Middle
260359	09-12	E E Smith High
260361	PK-05	Ferguson-Easley Elementary
260362	06-08	Gray's Creek Middle
260364	PK-05	Alderman Road Elementary
260365	06-08	R Max Abbott Middle
260366	PK-05	Howard L Hall Elementary
260367	0K-05	Bill Hefner Elementary
260368	06-08	Hope Mills Middle
260369	06-08	John R Griffin Middle
260370	PK-05	Ed V Baldwin Elementary
260371	06-08	Ireland Drive Middle
260372	06-08	Lewis Chapel Middle
260373	PK-05	Gallberry Farm Elementary
260374	09-12	Fuller Performance Learning Center
260375	PK-05	Gray's Creek Elementary
260380	02-05	Long Hill Elementary
260382	PK-05	Lucile Souders Elementary
260383	06-08	Mac Williams Middle
260386	PK-05	Margaret Willis Elementary
260388	09-12	Massey Hill Classical High
260396	PK-05	Mary McArthur Elementary
260397	0K-05	E Melvin Honeycutt Elementary
260398	PK-05	E E Miller Elementary
260400	PK-05	Montclair Elementary
260401	0K-05	Morganton Road Elementary
260402	0K-05	Manchester Elementary
260403	PK-05	New Century International Elementary
260404	PK-05	William H Owen Elementary
260405	0K-05	Walker Spivey Elementary
260406	06-08	Pine Forest Middle
260407	PK-05	Lake Rim Elementary
260408	09-12	Pine Forest High
260410	PK-05	Ponderosa Elementary
260411	09-12	Reid Ross Classical High
260413	05-08	Pauline Jones Middle
260414	PK-05	Benjamin J Martin Elementary
260415	0K-05	Rockfish Elementary
260416	PK-05	J W Seabrook Elementary
260417	06-08	New Century International Middle
260418	06-08	Seventy-First Classical Middle
260419	06-08	Reid Ross Classical Middle
260424	09-12	Seventy-First High
260425	06-08	South View Middle
260426	PK-05	Sherwood Park Elementary
260427	09-12	South View High
260428	06-08	Spring Lake Middle
260430	02-05	Stedman Elementary
260434	0K-05	Stoney Point Elementary
260440	PK-05	Sunnyside Elementary
260444	0K-05	Teresa C Berrien Elementary
260446	09-12	Terry Sanford High
260448	02-05	Vanstory Hills Elementary
260449	09-12	Ramsey Street High
260450	PK-05	Warrenwood Elementary
260452	PK-05	Westarea Elementary
260454	06-08	Westover Middle
260455	09-12	Westover High
260456	0K-05	Alger B Wilkins Elementary
260459	PK-05	William T Brown Elementary
260700	09-12	Howard Health & Life Sciences
260LEA		Cumberland County Schools
26B000	0K-08	Alpha Academy
270304	PK-05	Central Elementary
270306	09-12	Currituck County High
270308	06-08	Currituck County Middle
270309	PK-05	Jarvisburg Elementary
270310	0K-05	Shawboro Elementary School
270311	09-13	The JP Knapp ECH (i)School
270312	0K-05	Knotts Island Elementary
270316	0K-05	Moyock Elementary
270318	06-08	Moyock Middle
270320	0K-05	W T Griggs Elementary
270LEA		Currituck County Schools
27A000	0K-06	Water's Edge Village School
280302	PK-05	Cape Hatteras Elementary School
280304	06-12	Cape Hatteras Secondary School
280306	07-12	Dare County Alternative School
280308	0K-05	Kitty Hawk Elementary School
280310	PK-05	Nags Head Elementary School
280312	PK-05	Manteo Elementary School
280316	09-12	Manteo High School
280320	06-08	Manteo Middle School
280324	PK-05	First Flight Elementary School
280328	06-08	First Flight Middle School
280330	09-12	First Flight High School
280LEA		Dare County Schools
290302	0K-05	Brier Creek Elementary
290306	0K-05	Northwest Elementary
290307	0K-05	Southmont Elementary
290308	09-12	Central Davidson High
290309	06-08	Central Davidson Middle
290310	SP-ED	Stoner-Thomas School
290312	PK-05	Churchland Elementary
290314	06-12	Davidson County High School
290315	09-13	Davidson Early College
290316	PK-05	Davis-Townsend Elementary
290320	PK-05	Denton Elementary
290322	06-08	E Lawson Brown Middle
290324	09-12	East Davidson High
290328	PK-05	Fair Grove Elementary
290330	0K-05	Friedberg Elementary
290332	0K-05	Hasty Elementary
290333	PK-05	Friendship Elementary
290334	06-08	Ledford Middle
290336	09-12	Ledford Senior High
290344	PK-05	Midway Elementary
290348	09-12	North Davidson High
290350	06-08	North Davidson Middle
290351	06-08	Oak Grove Middle
290352	PK-05	Pilot Elementary
290356	PK-05	Reeds Elementary
290364	PK-05	Silver Valley Elementary
290365	09-12	South Davidson High
290366	PK-05	Southwood Elementary
290367	06-08	South Davidson Middle
290375	0K-05	Tyro Elementary
290376	06-08	Tyro Middle
290380	PK-05	Wallburg Elementary
290384	PK-05	Welcome Elementary
290388	09-12	West Davidson High
290389	09-09	Yadkin Valley Regional Career Academy
290LEA		Davidson County Schools
291308	01-05	Charles England Elementary School
291332	06-08	Lexington Middle School
291336	09-12	Lexington Senior High
291340	01-05	Pickett Elementary School
291350	0K-12	South Lexington Development Center
291352	01-05	Southwest Elementary School
291LEA		Lexington City Schools
292316	04-05	Liberty Drive Elementary
292318	PK-03	Thomasville Primary
292320	06-08	Thomasville Middle
292324	09-12	Thomasville High
292LEA		Thomasville City Schools
298202	0K-12	Eastern NC School for the Deaf
298203	PK-12	Gov. Morehead School for the Blind
298204	0K-12	NC School for the Deaf
300306	06-12	Central Davie Academy
300308	0K-05	Cooleemee Elementary
300310	0K-05	Cornatzer Elementary
300312	09-12	Davie County High
300314	09-13	Davie County Early College High
300320	0K-05	Mocksville Elementary
300325	06-08	North Davie Middle
300326	0K-05	Pinebrook Elementary
300328	0K-05	Shady Grove Elementary
300330	06-08	South Davie Middle
300336	0K-05	William R Davie Elementary
300337	06-08	William Ellis Middle
300LEA		Davie County Schools
310304	PK-08	B F Grady Elementary
310308	PK-08	Beulaville Elementary
310324	06-08	Charity Middle
310330	PK-08	Chinquapin Elementary
310336	PK-05	Warsaw Elementary
310338	09-13	Duplin Early College High
310340	06-08	E E Smith Middle
310344	09-12	East Duplin High
310352	09-12	James Kenan High
310356	PK-05	Kenansville Elementary
310360	PK-06	North Duplin Elementary
310364	07-12	North Duplin Jr Sr High
310384	PK-05	Rose Hill-Magnolia Elementary
310388	PK-05	Wallace Elementary
310392	09-12	Wallace-Rose Hill High
310396	06-08	Warsaw Middle
310LEA		Duplin County Schools
320304	0K-05	Bethesda Elementary
320306	06-08	Brogden Middle
320308	PK-05	Burton Elementary
320309	09-12	J D Clement Early College HS
320310	PK-05	Eastway Elementary
320312	09-12	C E Jordan High
320313	0K-05	Easley Elementary
320314	08-08	Chewning Middle
320315	PK-05	Eno Valley Elementary
