school_code	grade_span	school_name
920592	06-08	Wake Forest-Rolesville Mid
920593	0K-05	Wakefield Elementary
920594	06-08	Wakefield Middle
920595	09-12	Wakefield High
920596	0K-05	Washington Elementary
920597	0K-05	Wakelon Elementary
920598	0K-05	Weatherstone Elementary
920599	0K-05	Walnut Creek ES
920600	0K-05	Wendell Elementary
920601	06-08	Wendell Middle
920604	06-08	West Cary Middle
920606	0K-05	West Lake Elementary
920607	06-08	West Lake Middle
920608	06-08	West Millbrook Middle
920616	0K-05	Wilburn Elementary
920618	0K-05	Wildwood Forest Elementary
920620	0K-05	Wiley Elementary
920624	0K-05	Willow Springs Elementary
920626	0K-05	Yates Mill Elementary
920628	0K-05	York Elementary
920632	0K-05	Zebulon Elementary
920636	06-08	Zebulon Middle
920700	09-12	East Wake School of Health Science
920701	09-12	East Wake School of Integrated Technolog
920702	09-12	East Wake School of Arts Education and G
920703	09-12	East Wake School of Engineering
920LEA		Wake County Schools
92B000	06-08	Exploris
92D000	03-08	Magellan Charter
92E000	PK-08	Sterling Montessori Academy
92F000	0K-12	Franklin Academy
92G000	0K-12	East Wake Academy
92K000	09-12	Raleigh Charter High School
92L000	0K-05	Torchlight Academy
92M000	0K-08	PreEminent Charter
92N000	0K-08	Quest Academy
92P000	06-12	Southern Wake Academy
92Q000	0K-05	Hope Elementary
92R000	0K-08	Casa Esperanza Montessori
92S000	0K-08	Endeavor Charter
92T000	0K-06	Triangle Math and Science Academy
930330	PK-05	Mariam Boyd Elementary
930340	PK-05	Northside Elementary
930344	PK-05	South Warren Elementary
930348	PK-05	Vaughan Elementary
930352	09-12	Warren County High
930354	06-08	Warren County Middle
930360	09-13	Warren Early College High
930700	09-12	Warren New Tech High
930LEA		Warren County Schools
93A000	0K-12	Haliwa-Saponi Tribal School
940306	PK-06	Creswell Elementary
940308	07-12	Creswell High
940314	PK-05	Pines Elementary
940316	09-12	Plymouth High
940328	06-08	Washington County Union
940LEA		Washington County Schools
94Z000	09-09	Northeast Regional School - Biotech/Agri
950308	PK-08	Bethel Elementary
950312	PK-08	Blowing Rock Elementary
950316	PK-08	Cove Creek Elementary
950320	PK-08	Green Valley Elementary
950322	PK-08	Hardin Park Elementary
950324	PK-08	Mabel Elementary
950328	PK-08	Parkway Elementary
950332	PK-08	Valle Crucis Elementary
950336	09-12	Watauga High
950LEA		Watauga County Schools
95A000	0K-08	Two Rivers Community School
960312	05-08	Brogden Middle
960314	PK-04	Brogden Primary
960316	PK-04	Carver Elementary
960318	0K-04	Carver Heights Elementary
960324	09-12	Charles B Aycock High
960326	05-08	Dillard Middle
960329	PK-05	Eastern Wayne Elementary
960330	09-12	Eastern Wayne High
960331	06-08	Eastern Wayne Middle
960332	PK-12	Edgewood Cmty Developmental
960334	PK-05	Fremont STARS Elementary
960335	09-12	Goldsboro High
960336	0K-08	Grantham
960340	05-08	Greenwood Middle
960344	PK-04	Meadow Lane Elementary
960348	05-08	Mount Olive Middle
960360	06-08	Norwayne Middle
960370	PK-05	Rosewood Elementary
960372	09-12	Rosewood High
960374	06-08	Rosewood Middle
960376	PK-04	School Street Elementary
960380	09-12	Southern Wayne High
960382	PK-05	Spring Creek Elementary
960386	06-12	Spring Creek High
960388	PK-05	Tommy's Road Elementary
960390	PK-04	North Drive Elementary
960450	PK-05	Northeast Elementary
960454	0K-05	Northwest Elementary
960488	06-12	Wayne Middle / High Academy
960490	09-13	Wayne Early / Middle College High
960700	06-13	Wayne School of Engineering
960LEA		Wayne County Public Schools
96C000	0K-04	Dillard Academy
970308	PK-05	Boomer-Ferguson Elementary
970310	PK-05	C B Eller Elementary
970312	PK-05	C C Wright Elementary
970315	06-08	Central Wilkes Middle
970320	09-12	East Wilkes High
970322	06-08	East Wilkes Middle
970337	PK-05	Millers Creek Elementary
970340	PK-05	Moravian Falls Elementary
970344	PK-05	Mount Pleasant Elementary
970348	PK-05	Mountain View Elementary
970352	PK-05	Mulberry Elementary
970356	09-12	North Wilkes High
970358	06-08	North Wilkes Middle
970360	PK-05	North Wilkesboro Elementary
970368	PK-05	Roaring River Elementary
970370	PK-05	Ronda-Clingman Elementary
970376	PK-05	Traphill Elementary
970388	09-12	West Wilkes High
970389	06-08	West Wilkes Middle
970390	09-12	Wilkes Central High
970392	PK-05	Wilkesboro Elementary
970393	09-13	Wilkes Early College High
970LEA		Wilkes County Schools
97D000	0K-08	Bridges Charter School
980306	06-12	Milton M Daniels Learning Cntr
980308	0K-05	B O Barnes Elementary
980317	06-08	Charles H Darden Middle
980318	09-12	Beddingfield High
980320	0K-05	Elm City Elementary
980324	06-08	Elm City Middle
980336	09-12	Fike High
980338	06-08	Forest Hills Middle
980340	0K-05	Gardners Elementary
980342	09-12	James Hunt High
980344	0K-05	John W Jones Elementary
980348	0K-05	Lee Woodard Elementary
980352	0K-05	Lucama Elementary
980356	PK-05	Margaret Hearne Elementary
980357	0K-05	Vick Elementary
980360	0K-05	New Hope Elementary
980364	0K-05	Rock Ridge Elementary
980380	06-08	Speight Middle
980384	06-08	Springfield Middle
980388	0K-05	Stantonsburg Elementary
980390	06-08	Toisnot Middle
980392	0K-05	Vinson-Bynum Elementary
980396	0K-05	Wells Elementary
980398	09-12	Wilson Early College Academy
980400	0K-05	Winstead Elementary
980LEA		Wilson County Schools
98A000	0K-08	Sallie B Howard School
990304	PK-06	Boonville Elementary
990308	PK-06	Courtney Elementary
990312	PK-06	East Bend Elementary
990316	PK-06	Fall Creek Elementary
990320	PK-06	Forbush Elementary
990321	07-08	Forbush Middle
990322	09-12	Forbush High
990324	PK-06	Jonesville Elementary
990325	07-08	Starmount Middle
990326	09-12	Starmount High
990328	PK-06	West Yadkin Elementary
990332	09-13	Yadkin Early College
990336	PK-06	Yadkinville Elementary
990340	0K-12	Yadkin Success Academy
990LEA		Yadkin County Schools
995304	0K-05	Bald Creek Elementary
995308	0K-05	Bee Log Elementary
995312	0K-05	Burnsville Elementary
995316	06-08	Cane River Middle
995320	0K-05	Clearmont Elementary
995324	06-08	East Yancey Middle
995328	0K-05	Micaville Elementary
995330	09-12	Mountain Heritage High
995336	0K-05	South Toe Elementary
995LEA		Yancey County Schools
NC-SB1		
NC-SB2		
NC-SB3		
NC-SB4		
NC-SB5		
NC-SB6		
NC-SB7		
NC-SB8		
NC-SEA		State of North Carolina
